Code,M2
00E3,0DFF
0E98,720E
0052,1BFF
52E0,7252
0087,7200
93E0,1AD8
0186,E403
0192,8DFE
0214,F202
22E1,3774
0247,E404
0270,8DFD
0301,0DFC
0319,E406
32E1,0DCD
0365,7203
0375,37F2
0393,1BF8
0433,1BF7
0482,0DFB
53E1,E4A7
0597,F205
0611,8DF9
0626,E40C
0675,F206
0704,7207
0705,37E3
0760,0DF8
0778,E40E
0821,0DF7
0839,E410
0845,7208
0855,37DE
09E2,37D8
0934,F209
0950,8DF6
0967,E412
1035,F210
1051,8DEF
1066,E420
1120,0DEE
1138,E422
1144,7211
1154,37BA
1273,1BDB
1289,F212
1407,E428
1430,8DEB
1454,F214
1493,37AD
1524,37AB
1525,7215
1541,0DEA
1559,E42A
1612,1BD3
1698,E42D
1799,7217
1887,E431
1893,8DE7
19E2,0DE6
1953,1BCD
1986,7219
2071,1BBF
2218,7222
2219,3777
2237,F222
2253,8DDD
2264,E444
2322,0DDC
2346,7223
2356,3772
2369,F223
2410,1BB7
2605,E44C
2632,8DD9
2656,F226
2669,3766
2679,7226
2691,3765
2708,F227
2726,3763
2727,7227
2743,0DD8
2802,0DD7
2849,F228
2866,7228
2876,375E
2890,1BAE
2917,F229
2938,7229
2939,375B
2944,E452
2973,8DD6
3016,F230
3038,373F
3039,7230
3045,E460
3072,8DCF
3103,0DCE
3148,F231
3167,7231
3177,373A
3191,1B9C
3250,1B9B
3285,7232
3384,E467
3390,8DCC
3413,8DCB
3424,E468
3448,372E
3458,7234
3477,F234
3506,7235
3507,372B
3529,F235
3562,0DCA
3631,1B93
3680,0DC9
3795,F237
3970,1B8D
4014,1B7F
4094,36FD
4123,36FB
4201,E484
4219,0DBD
4236,8DBD
4252,F242
4323,7243
4347,0DBC
4368,8DBC
4475,1B77
4553,36EA
4633,F246
4657,8DB9
4660,E48C
4678,0DB9
4709,8DB8
4726,0DB8
4742,7247
4803,7248
4848,8DB7
4867,0DB7
4916,8DB6
4921,E492
4939,0DB6
4972,F249
5017,8DAF
5020,E4A0
5038,0DAF
5073,F250
5102,7251
5149,8DAE
5166,0DAE
5235,1B5B
5284,0DAD
5302,36B3
5391,F253
5412,F254
5441,E4A8
5459,0DAB
5476,8DAB
5507,0DAA
5528,8DAA
5563,7255
5595,1B54
5654,1B53
5681,7256
5772,36A2
5780,E4AF
5794,8DA8
5822,369F
5915,1B4D
5995,3699
60E2,7260
6037,1B3F
6086,0D9F
6100,367B
6169,1B3D
6193,F261
6215,8D9D
6222,E4C4
6271,F262
6300,7263
6364,0D9C
6456,1B37
6483,7264
6508,1B35
6570,366A
6582,E4CB
6588,3669
6596,8D9A
6610,F266
6643,E4CC
6674,8D99
6705,0D98
6761,7267
6797,1B30
6820,7268
6844,0D97
6902,E4D2
6935,8D96
6951,F269
6988,1B2C
7003,E4E0
7034,8D8F
7050,F270
7089,1B1E
7121,7271
7145,0D8E
7216,1B1B
7288,8D8D
7296,3635
7321,3633
7348,1B19
7431,F274
7455,8D8B
7462,E4E8
7524,0D8A
7540,7275
7677,1B13
7729,1B11
7751,3622
7798,0D88
78E2,E4F1
7801,361F
7868,1B0F
7892,F278
7936,1B0D
7987,0D86
8015,E500
8024,F280
8040,8D7F
8131,0D7E
8155,7281
8200,1AFB
8298,F282
8351,35F2
8421,8D7B
8445,F284
8474,E508
8534,7285
8550,0D7A
8661,1AF3
8696,35E5
8721,35E3
8788,7287
8871,35DE
8882,8D77
8889,35DD
8920,1AED
8997,7289
9021,1ADF
9096,7290
9170,35BA
9183,8D6E
9188,35B9
9205,F292
9234,E524
9261,8D6D
9310,0D6C
9374,7293
9440,1AD7
9493,0D6B
9500,35AB
95E2,8D6A
