Index,TagID_Hex,PRI,TagID_Dec
1,2324,5,8996
2,238A,5,9098
3,23A2,5,9122
4,242E,5,9262
5,245E,5,9310
6,248E,5,9358
7,24C8,5,9416
8,24E8,5,9448
9,250E,5,9486
10,257C,5,9596
11,2584,5,9604
12,25C4,5,9668
13,25DE,5,9694
14,25F4,5,9716
15,25F6,5,9718
16,261A,5,9754
17,2664,5,9828
18,2666,5,9830
19,2668,5,9832
20,266C,5,9836
21,266E,5,9838
22,2672,5,9842
23,2674,5,9844
24,2676,5,9846
25,267A,5,9850
26,2682,5,9858
27,2684,5,9860
28,2686,5,9862
29,2688,5,9864
30,268C,5,9868
31,268E,5,9870
32,2690,5,9872
33,2698,5,9880
34,269C,5,9884
35,269E,5,9886
36,26A0,5,9888
37,26B0,5,9904
38,26B8,5,9912
39,26BC,5,9916
40,26C2,5,9922
41,26C8,5,9928
42,26CC,5,9932
43,26CE,5,9934
44,26D0,5,9936
45,26DC,5,9948
46,26DE,5,9950
47,26E2,5,9954
48,26E4,5,9956
49,26E6,5,9958
50,26EC,5,9964
51,26EE,5,9966
52,26F2,5,9970
53,26F4,5,9972
54,26F6,5,9974
55,26FA,5,9978
56,270A,5,9994
57,2712,5,10002
58,2714,5,10004
59,271A,5,10010
60,2724,5,10020
61,2726,5,10022
62,2728,5,10024
63,272C,5,10028
64,272E,5,10030
65,2732,5,10034
66,2734,5,10036
67,2736,5,10038
68,273A,5,10042
69,2744,5,10052
70,2746,5,10054
71,2748,5,10056
72,274E,5,10062
73,2750,5,10064
74,2758,5,10072
75,275E,5,10078
76,2762,5,10082
77,2764,5,10084
78,2766,5,10086
79,2768,5,10088
80,276C,5,10092
81,276E,5,10094
82,2772,5,10098
83,2774,5,10100
84,2776,5,10102
85,277A,5,10106
86,278A,5,10122
87,2792,5,10130
88,2794,5,10132
89,2796,5,10134
90,279A,5,10138
91,27A2,5,10146
92,27A4,5,10148
93,27A6,5,10150
94,27A8,5,10152
95,27AC,5,10156
96,27AE,5,10158
97,27B2,5,10162
98,27B4,5,10164
99,27B6,5,10166
100,27B8,5,10168
101,27BA,5,10170
102,27CA,5,10186
103,27D2,5,10194
104,27D4,5,10196
105,27D6,5,10198
106,27DA,5,10202
107,27EA,5,10218
108,280A,5,10250
109,2812,5,10258
110,2814,5,10260
111,2816,5,10262
112,281A,5,10266
113,2822,5,10274
114,2824,5,10276
115,2826,5,10278
116,2828,5,10280
117,282C,5,10284
118,282E,5,10286
119,2832,5,10290
120,2836,5,10294
121,283A,5,10298
122,2842,5,10306
123,2844,5,10308
124,2846,5,10310
125,2848,5,10312
126,284C,5,10316
127,284E,5,10318
128,2850,5,10320
129,2858,5,10328
130,285C,5,10332
131,285E,5,10334
132,2864,5,10340
133,2868,5,10344
134,286C,5,10348
135,286E,5,10350
136,2872,5,10354
137,2874,5,10356
138,2876,5,10358
139,287A,5,10362
140,2882,5,10370
141,2884,5,10372
142,2886,5,10374
143,2888,5,10376
144,288C,5,10380
145,288E,5,10382
146,2890,5,10384
147,2898,5,10392
148,289C,5,10396
149,289E,5,10398
150,28B0,5,10416
151,28BC,5,10428
152,28BE,5,10430
153,28C2,5,10434
154,28C6,5,10438
155,28C8,5,10440
156,28CC,5,10444
157,28CE,5,10446
158,28D0,5,10448
159,28D8,5,10456
160,28DC,5,10460
161,28DE,5,10462
162,28E2,5,10466
163,28E4,5,10468
164,28E6,5,10470
165,28E8,5,10472
166,28EC,5,10476
167,28EE,5,10478
168,28F2,5,10482
169,28F6,5,10486
170,28FA,5,10490
171,2902,5,10498
172,2904,5,10500
173,2906,5,10502
174,2908,5,10504
175,290C,5,10508
176,290E,5,10510
177,2918,5,10520
178,291C,5,10524
179,291E,5,10526
180,2920,5,10528
181,2930,5,10544
182,2938,5,10552
183,293C,5,10556
184,293E,5,10558
185,2940,5,10560
186,2960,5,10592
187,2970,5,10608
188,2978,5,10616
189,297C,5,10620
190,297E,5,10622
191,2982,5,10626
192,2984,5,10628
193,2986,5,10630
194,2988,5,10632
195,298C,5,10636
196,298E,5,10638
197,2990,5,10640
198,2998,5,10648
199,299C,5,10652
200,29A0,5,10656
201,29B0,5,10672
202,29B8,5,10680
203,2A06,5,10758
204,2A0C,5,10764
205,2A3E,5,10814
206,2B84,5,11140
207,2BC8,5,11208
208,2BFA,5,11258
209,2C12,5,11282
210,2C36,5,11318
211,2C82,5,11394
212,2C9C,5,11420
213,2CA0,5,11424
214,2D38,5,11576
215,2D8C,5,11660
216,2D8E,5,11662
217,2D90,5,11664
218,2D98,5,11672
219,2D9C,5,11676
220,2D9E,5,11678
221,2DA0,5,11680
222,2DB0,5,11696
223,2DB8,5,11704
224,2DBC,5,11708
225,2DBE,5,11710
226,2DC2,5,11714
227,2DC4,5,11716
228,2DC6,5,11718
229,2DC8,5,11720
230,2DCC,5,11724
231,2DCE,5,11726
232,2DD0,5,11728
233,2DD8,5,11736
234,2DDC,5,11740
235,2DDE,5,11742
236,2DE2,5,11746
237,2DE4,5,11748
238,2DE6,5,11750
239,2DE8,5,11752
240,2DEC,5,11756
241,2DEE,5,11758
242,2DF2,5,11762
243,2DF4,5,11764
244,2DF6,5,11766
245,2DFA,5,11770
246,2E0A,5,11786
247,2E12,5,11794
248,2E1A,5,11802
249,2E22,5,11810
250,2E24,5,11812
