Index,TagID_Hex,PRI,TagID_Dec,tank
6,24E8,5,9448,36offsite
14,2668,5,9832,36offsite
17,2672,5,9842,36offsite
18,2674,5,9844,36offsite
19,2676,5,9846,36offsite
20,267A,5,9850,36offsite
21,2684,5,9860,36offsite
23,2688,5,9864,36offsite
25,268E,5,9870,36offsite
29,26B8,5,9912,36offsite
31,26C2,5,9922,36offsite
32,26C8,5,9928,36offsite
33,26CC,5,9932,36offsite
34,26CE,5,9934,36offsite
36,26DC,5,9948,36offsite
45,270A,5,9994,36offsite
47,2714,5,10004,36offsite
49,2724,5,10020,36offsite
50,2726,5,10022,36offsite
51,2728,5,10024,36offsite
53,272E,5,10030,36offsite
54,2732,5,10034,36offsite
57,273A,5,10042,36offsite
59,2746,5,10054,36offsite
60,2748,5,10056,36offsite
62,2750,5,10064,36offsite
65,2764,5,10084,36offsite
66,2766,5,10086,36offsite
71,2774,5,10100,36offsite
72,2776,5,10102,36offsite
75,279A,5,10138,36offsite
76,27A2,5,10146,36offsite
80,27AE,5,10158,36offsite
81,27B2,5,10162,36offsite
89,280A,5,10250,36offsite
92,2816,5,10262,36offsite
94,2826,5,10278,36offsite
97,2832,5,10290,36offsite
100,2844,5,10308,36offsite
102,2848,5,10312,36offsite
107,285C,5,10332,36offsite
109,2864,5,10340,36offsite
112,286E,5,10350,36offsite
123,2898,5,10392,36offsite
124,289C,5,10396,36offsite
125,289E,5,10398,36offsite
127,28BC,5,10428,36offsite
131,28C8,5,10440,36offsite
132,28CC,5,10444,36offsite
134,28D0,5,10448,36offsite
136,28DC,5,10460,36offsite
139,28E4,5,10468,36offsite
145,28FA,5,10490,36offsite
147,2904,5,10500,36offsite
154,291E,5,10526,36offsite
156,2930,5,10544,36offsite
158,293C,5,10556,36offsite
159,293E,5,10558,36offsite
161,2960,5,10592,36offsite
165,297E,5,10622,36offsite
168,2986,5,10630,36offsite
170,298C,5,10636,36offsite
173,2998,5,10648,36offsite
175,29A0,5,10656,36offsite
176,29B0,5,10672,36offsite
186,2C82,5,11394,36offsite
190,2D90,5,11664,36offsite
191,2D98,5,11672,36offsite
192,2D9C,5,11676,36offsite
195,2DB0,5,11696,36offsite
196,2DB8,5,11704,36offsite
198,2DBE,5,11710,36offsite
200,2DC4,5,11716,36offsite
203,2DCC,5,11724,36offsite
204,2DCE,5,11726,36offsite
206,2DD8,5,11736,36offsite
207,2DDE,5,11742,36offsite
209,2DE4,5,11748,36offsite
213,2DEE,5,11758,36offsite
215,2DF4,5,11764,36offsite
217,2E0A,5,11786,36offsite
220,2E22,5,11810,36offsite
222,2E26,5,11814,36offsite
223,2E28,5,11816,36offsite
225,2E32,5,11826,36offsite
226,2E34,5,11828,36offsite
227,2E36,5,11830,36offsite
228,2E3A,5,11834,36offsite
233,2E4C,5,11852,36offsite
234,2E4E,5,11854,36offsite
238,2E64,5,11876,36offsite
244,2E82,5,11906,36offsite
246,2E8C,5,11916,36offsite
247,2E8E,5,11918,36offsite
249,2E98,5,11928,36offsite
251,2E9E,5,11934,36offsite
252,2EA0,5,11936,36offsite
254,2EB8,5,11960,36offsite
259,2EC6,5,11974,36offsite
260,2EC8,5,11976,36offsite
261,2ECE,5,11982,36offsite
268,2EE8,5,12008,36offsite
273,2EF6,5,12022,36offsite
274,2EFA,5,12026,36offsite
277,2F14,5,12052,36offsite
281,2F26,5,12070,36offsite
287,2F36,5,12086,36offsite
290,2F44,5,12100,36offsite
291,2F46,5,12102,36offsite
292,2F48,5,12104,36offsite
293,2F4E,5,12110,36offsite
294,2F5E,5,12126,36offsite
295,2F62,5,12130,36offsite
299,2F6E,5,12142,36offsite
300,2F72,5,12146,36offsite
302,2F7A,5,12154,36offsite
306,2FA2,5,12194,36offsite
308,2FA8,5,12200,36offsite
309,2FAC,5,12204,36offsite
310,2FAE,5,12206,36offsite
311,2FB2,5,12210,36offsite
314,2FBA,5,12218,36offsite
315,2FCA,5,12234,36offsite
318,2FD6,5,12246,36offsite
320,2FEA,5,12266,36offsite
324,3052,5,12370,36offsite
328,306A,5,12394,36offsite
334,30A2,5,12450,36offsite
338,30AC,5,12460,36offsite
342,30D2,5,12498,36offsite
343,30D4,5,12500,36offsite
344,30D6,5,12502,36offsite
345,30DA,5,12506,36offsite
349,3116,5,12566,36offsite
350,3122,5,12578,36offsite
357,3136,5,12598,36offsite
359,3142,5,12610,36offsite
360,3144,5,12612,36offsite
361,3148,5,12616,36offsite
364,3150,5,12624,36offsite
367,3162,5,12642,36offsite
371,3172,5,12658,36offsite
374,318A,5,12682,36offsite
377,31A2,5,12706,36offsite
383,31B6,5,12726,36offsite
385,31CA,5,12746,36offsite
386,31D2,5,12754,36offsite
387,31D4,5,12756,36offsite
389,31DA,5,12762,36offsite
390,31EA,5,12778,36offsite
391,320A,5,12810,36offsite
394,3216,5,12822,36offsite
395,321A,5,12826,36offsite
396,3222,5,12834,36offsite
397,3224,5,12836,36offsite
398,3226,5,12838,36offsite
399,3228,5,12840,36offsite
404,323A,5,12858,36offsite
405,3242,5,12866,36offsite
406,3244,5,12868,36offsite
408,324C,5,12876,36offsite
410,325C,5,12892,36offsite
411,325E,5,12894,36offsite
412,3262,5,12898,36offsite
414,3266,5,12902,36offsite
415,3268,5,12904,36offsite
416,326E,5,12910,36offsite
421,3288,5,12936,36offsite
422,328C,5,12940,36offsite
424,3298,5,12952,36offsite
427,32A0,5,12960,36offsite
428,32B0,5,12976,36offsite
429,32B8,5,12984,36offsite
432,32C2,5,12994,36offsite
433,32C6,5,12998,36offsite
435,32CC,5,13004,36offsite
437,32D0,5,13008,36offsite
438,32DC,5,13020,36offsite
439,32DE,5,13022,36offsite
440,32E2,5,13026,36offsite
442,32E6,5,13030,36offsite
443,32EC,5,13036,36offsite
444,32EE,5,13038,36offsite
446,32F4,5,13044,36offsite
449,3312,5,13074,36offsite
452,3322,5,13090,36offsite
453,3324,5,13092,36offsite
455,3328,5,13096,36offsite
456,332C,5,13100,36offsite
457,332E,5,13102,36offsite
458,3332,5,13106,36offsite
461,3344,5,13124,36offsite
462,3348,5,13128,36offsite
463,334C,5,13132,36offsite
464,334E,5,13134,36offsite
465,3358,5,13144,36offsite
466,335E,5,13150,36offsite
470,3374,5,13172,36offsite
471,3376,5,13174,36offsite
472,338A,5,13194,36offsite
474,3396,5,13206,36offsite
476,33A2,5,13218,36offsite
479,33AC,5,13228,36offsite
483,33BA,5,13242,36offsite
484,33CA,5,13258,36offsite
485,33D2,5,13266,36offsite
486,33D4,5,13268,36offsite
491,3412,5,13330,36offsite
492,3414,5,13332,36offsite
493,341A,5,13338,36offsite
497,3428,5,13352,36offsite
499,342E,5,13358,36offsite
500,3432,5,13362,36offsite
501,3434,5,13364,36offsite
505,3446,5,13382,36offsite
506,3448,5,13384,36offsite
507,344C,5,13388,36offsite
508,344E,5,13390,36offsite
509,345C,5,13404,36offsite
510,345E,5,13406,36offsite
511,3464,5,13412,36offsite
513,346E,5,13422,36offsite
514,3472,5,13426,36offsite
515,3474,5,13428,36offsite
518,3484,5,13444,36offsite
519,3486,5,13446,36offsite
522,3490,5,13456,36offsite
524,349C,5,13468,36offsite
531,34D0,5,13520,36offsite
533,34DE,5,13534,36offsite
537,34E8,5,13544,36offsite
538,34EC,5,13548,36offsite
539,34EE,5,13550,36offsite
540,34F2,5,13554,36offsite
544,3502,5,13570,36offsite
551,351C,5,13596,36offsite
552,3520,5,13600,36offsite
553,3530,5,13616,36offsite
557,3560,5,13664,36offsite
564,3598,5,13720,36offsite
566,359E,5,13726,36offsite
568,35B0,5,13744,36offsite
572,35C2,5,13762,36offsite
574,35C6,5,13766,36offsite
576,35CC,5,13772,36offsite
577,35CE,5,13774,36offsite
578,35D8,5,13784,36offsite
579,35DC,5,13788,36offsite
582,35E4,5,13796,36offsite
583,35E8,5,13800,36offsite
584,35EC,5,13804,36offsite
586,35F2,5,13810,36offsite
587,35F4,5,13812,36offsite
592,3614,5,13844,36offsite
593,3616,5,13846,36offsite
594,361A,5,13850,36offsite
597,362C,5,13868,36offsite
600,363A,5,13882,36offsite
603,3648,5,13896,36offsite
605,365E,5,13918,36offsite
612,3684,5,13956,36offsite
615,368C,5,13964,36offsite
618,3698,5,13976,36offsite
619,369C,5,13980,36offsite
622,36B0,5,14000,36offsite
623,36B8,5,14008,36offsite
624,36BC,5,14012,36offsite
627,36C4,5,14020,36offsite
629,36C8,5,14024,36offsite
630,36CC,5,14028,36offsite
632,36DC,5,14044,36offsite
634,36E2,5,14050,36offsite
635,36E4,5,14052,36offsite
640,370A,5,14090,36offsite
641,3712,5,14098,36offsite
643,371A,5,14106,36offsite
644,3722,5,14114,36offsite
647,372C,5,14124,36offsite
649,3732,5,14130,36offsite
653,3742,5,14146,36offsite
655,3748,5,14152,36offsite
659,3758,5,14168,36offsite
664,376C,5,14188,36offsite
665,376E,5,14190,36offsite
666,3774,5,14196,36offsite
668,377A,5,14202,36offsite
669,3792,5,14226,36offsite
670,3794,5,14228,36offsite
671,3796,5,14230,36offsite
674,37A4,5,14244,36offsite
678,37AE,5,14254,36offsite
679,37B2,5,14258,36offsite
681,37B6,5,14262,36offsite
682,37CA,5,14282,36offsite
683,37D4,5,14292,36offsite
684,37D6,5,14294,36offsite
686,37EA,5,14314,36offsite
688,384A,5,14410,36offsite
689,3852,5,14418,36offsite
690,3854,5,14420,36offsite
691,385A,5,14426,36offsite
321,2FEA_shedTag,5,12266,TagEffects
12,2664,5,9828,TagEffects
13,2666,5,9830,TagEffects
26,2690,5,9872,TagEffects
43,26F6,5,9974,TagEffects
48,271A,5,10010,TagEffects
55,2734,5,10036,TagEffects
64,2762,5,10082,TagEffects
67,2768,5,10088,TagEffects
74,2792,5,10130,TagEffects
87,27DA,5,10202,TagEffects
122,2890,5,10384,TagEffects
137,28DE,5,10462,TagEffects
150,290C,5,10508,TagEffects
164,297C,5,10620,TagEffects
177,29B8,5,10680,TagEffects
208,2DE2,5,11746,TagEffects
224,2E2C,5,11820,TagEffects
229,2E42,5,11842,TagEffects
242,2E76,5,11894,TagEffects
263,2EDC,5,11996,TagEffects
282,2F28,5,12072,TagEffects
289,2F42,5,12098,TagEffects
305,2F9A,5,12186,TagEffects
312,2FB4,5,12212,TagEffects
341,30BA,5,12474,TagEffects
369,3168,5,12648,TagEffects
381,31AE,5,12718,TagEffects
407,3248,5,12872,TagEffects
423,3290,5,12944,TagEffects
473,3394,5,13204,TagEffects
482,33B6,5,13238,TagEffects
488,33DA,5,13274,TagEffects
496,3426,5,13350,TagEffects
504,3444,5,13380,TagEffects
520,3488,5,13448,TagEffects
530,34CE,5,13518,TagEffects
535,34E4,5,13540,TagEffects
