Index,TagID_Hex,PRI,TagID_Dec,ReleaseGroup
3,3B66,5,15206,AcSurge1
14,3B9A,5,15258,AcSurge1
23,3BD2,5,15314,AcSurge1
28,3C6A,5,15466,AcSurge1
32,3C94,5,15508,AcSurge1
36,3CD2,5,15570,AcSurge1
54,DA15,5,55829,AcSurge1
58,DA28,5,55848,AcSurge1
60,DA2C,5,55852,AcSurge1
61,DA2D,5,55853,AcSurge1
62,DA32,5,55858,AcSurge1
63,DA34,5,55860,AcSurge1
65,DA3A,5,55866,AcSurge1
73,DA51,5,55889,AcSurge1
76,DA59,5,55897,AcSurge1
79,DA5D,5,55901,AcSurge1
80,DA62,5,55906,AcSurge1
82,DA65,5,55909,AcSurge1
83,DA66,5,55910,AcSurge1
84,DA68,5,55912,AcSurge1
85,DA6D,5,55917,AcSurge1
86,DA72,5,55922,AcSurge1
94,DA89,5,55945,AcSurge1
96,DA8C,5,55948,AcSurge1
99,DA93,5,55955,AcSurge1
103,DA9C,5,55964,AcSurge1
106,DAAF,5,55983,AcSurge1
117,DACB,5,56011,AcSurge1
118,DACD,5,56013,AcSurge1
123,DAD9,5,56025,AcSurge1
124,DADC,5,56028,AcSurge1
125,DADD,5,56029,AcSurge1
127,DAE5,5,56037,AcSurge1
128,DAE6,5,56038,AcSurge1
129,DAE8,5,56040,AcSurge1
130,DAEB,5,56043,AcSurge1
132,DAF2,5,56050,AcSurge1
134,DAF5,5,56053,AcSurge1
135,DAF6,5,56054,AcSurge1
137,DB0A,5,56074,AcSurge1
138,DB12,5,56082,AcSurge1
141,DB16,5,56086,AcSurge1
151,DB32,5,56114,AcSurge1
153,DB35,5,56117,AcSurge1
154,DB36,5,56118,AcSurge1
155,DB3A,5,56122,AcSurge1
165,DB50,5,56144,AcSurge1
170,DB59,5,56153,AcSurge1
171,DB5D,5,56157,AcSurge1
179,DB6C,5,56172,AcSurge1
180,DB6D,5,56173,AcSurge1
181,DB6E,5,56174,AcSurge1
184,DB8A,5,56202,AcSurge1
185,DB92,5,56210,AcSurge1
186,DB94,5,56212,AcSurge1
188,DB9A,5,56218,AcSurge1
192,DBA6,5,56230,AcSurge1
193,DBA8,5,56232,AcSurge1
194,DBA9,5,56233,AcSurge1
202,DBCA,5,56266,AcSurge1
203,DBD2,5,56274,AcSurge1
206,DBD6,5,56278,AcSurge1
214,DC8A,5,56458,AcSurge1
217,DC94,5,56468,AcSurge1
219,DC9A,5,56474,AcSurge1
222,DCA8,5,56488,AcSurge1
226,DCB4,5,56500,AcSurge1
229,DCBA,5,56506,AcSurge1
231,DCD2,5,56530,AcSurge1
234,DCEA,5,56554,AcSurge1
239,DD16,5,56598,AcSurge1
242,DD25,5,56613,AcSurge1
245,DD29,5,56617,AcSurge1
249,DD2E,5,56622,AcSurge1
262,DD50,5,56656,AcSurge1
263,DD51,5,56657,AcSurge1
264,DD53,5,56659,AcSurge1
271,DD5E,5,56670,AcSurge1
276,DD6C,5,56684,AcSurge1
280,DD74,5,56692,AcSurge1
283,DD8A,5,56714,AcSurge1
288,DD9A,5,56730,AcSurge1
290,DDA5,5,56741,AcSurge1
291,DDA6,5,56742,AcSurge1
293,DDA9,5,56745,AcSurge1
299,DDB4,5,56756,AcSurge1
304,DDD4,5,56788,AcSurge1
306,DDD6,5,56790,AcSurge1
307,DDDA,5,56794,AcSurge1
309,DE2A,5,56874,AcSurge1
311,DE54,5,56916,AcSurge1
318,DE9A,5,56986,AcSurge1
320,DEA4,5,56996,AcSurge1
322,DEA9,5,57001,AcSurge1
328,DEB5,5,57013,AcSurge1
330,DEBA,5,57018,AcSurge1
335,DEDA,5,57050,AcSurge1
