Index,TagID,PRI,TagID_Dec
1,BA5B,5,-17829
2,BA5C,5,-17828
3,BA5E,5,-17826
4,BA62,5,-17822
5,BA64,5,-17820
6,BA65,5,-17819
7,BA66,5,-17818
8,BA68,5,-17816
9,BA69,5,-17815
10,BA6B,5,-17813
11,BA6C,5,-17812
12,BA6D,5,-17811
13,BA6E,5,-17810
14,BA72,5,-17806
15,BA74,5,-17804
16,BA75,5,-17803
17,BA76,5,-17802
18,BA7A,5,-17798
19,BA82,5,-17790
20,BA84,5,-17788
21,BA85,5,-17787
22,BA86,5,-17786
23,BA88,5,-17784
24,BA89,5,-17783
25,BA8C,5,-17780
26,BA8D,5,-17779
27,BA8E,5,-17778
28,BA90,5,-17776
29,BA91,5,-17775
30,BA93,5,-17773
31,BA97,5,-17769
32,BA98,5,-17768
33,BA99,5,-17767
34,BA9B,5,-17765
35,BA9C,5,-17764
36,BA9D,5,-17763
37,BA9E,5,-17762
38,BAA0,5,-17760
39,BAA3,5,-17757
40,BAB0,5,-17744
41,BAB3,5,-17741
42,BAB6,5,-17738
43,BAB7,5,-17737
44,BAB8,5,-17736
45,BAB9,5,-17735
46,BABB,5,-17733
47,BABC,5,-17732
48,BABD,5,-17731
49,BABE,5,-17730
50,BAC2,5,-17726
51,BAC5,5,-17723
52,BAC6,5,-17722
53,BAC8,5,-17720
54,BAC9,5,-17719
55,BACB,5,-17717
56,BACC,5,-17716
57,BACD,5,-17715
58,BACE,5,-17714
59,BAD0,5,-17712
60,BAD1,5,-17711
61,BAD2,5,-17710
62,BAD3,5,-17709
63,BAD7,5,-17705
64,BAD8,5,-17704
65,BAD9,5,-17703
66,BADB,5,-17701
67,BADC,5,-17700
68,BAE2,5,-17694
69,BAE4,5,-17692
70,BAE5,5,-17691
71,BAE6,5,-17690
72,BAE8,5,-17688
73,BAE9,5,-17687
74,BAEB,5,-17685
75,BAEC,5,-17684
76,BAED,5,-17683
77,BAEE,5,-17682
78,BAF4,5,-17676
79,BAF5,5,-17675
80,BAF6,5,-17674
81,BAFA,5,-17670
82,BB0A,5,-17654
83,BB12,5,-17646
84,BB14,5,-17644
85,BB15,5,-17643
86,BB16,5,-17642
87,BB1A,5,-17638
88,BB24,5,-17628
89,BB25,5,-17627
90,BB26,5,-17626
91,BB28,5,-17624
92,BB29,5,-17623
93,BB2A,5,-17622
94,BB2B,5,-17621
95,BB2C,5,-17620
96,BB2D,5,-17619
97,BB2E,5,-17618
98,BB32,5,-17614
99,BB34,5,-17612
100,BB35,5,-17611
101,BB36,5,-17610
102,BB3A,5,-17606
103,BB42,5,-17598
104,BB44,5,-17596
105,BB45,5,-17595
106,BB46,5,-17594
107,BB48,5,-17592
108,BB49,5,-17591
109,BB4B,5,-17589
110,BB4C,5,-17588
111,BB4D,5,-17587
112,BB4E,5,-17586
113,BB50,5,-17584
114,BB51,5,-17583
115,BB53,5,-17581
116,BB54,5,-17580
117,BB57,5,-17577
118,BB58,5,-17576
119,BB59,5,-17575
120,BB5B,5,-17573
121,BB5C,5,-17572
122,BB5D,5,-17571
123,BB5E,5,-17570
124,BB62,5,-17566
125,BB64,5,-17564
126,BB65,5,-17563
127,BB66,5,-17562
128,BB68,5,-17560
129,BB6B,5,-17557
130,BB6C,5,-17556
131,BB6D,5,-17555
132,BB6E,5,-17554
133,BB72,5,-17550
134,BB74,5,-17548
135,BB75,5,-17547
136,BB76,5,-17546
137,BB7A,5,-17542
138,BB8A,5,-17526
139,BB92,5,-17518
140,BB94,5,-17516
141,BB95,5,-17515
142,BB96,5,-17514
143,BB9A,5,-17510
144,BBA4,5,-17500
145,BBA5,5,-17499
146,BBA8,5,-17496
147,BBA9,5,-17495
148,BBAB,5,-17493
149,BBAC,5,-17492
150,BBAE,5,-17490
151,BBB2,5,-17486
152,BBB4,5,-17484
153,BBB5,5,-17483
154,BBB6,5,-17482
155,BBBA,5,-17478
156,BBCA,5,-17462
157,BBD2,5,-17454
158,BBD4,5,-17452
159,BBD5,5,-17451
160,BBD6,5,-17450
161,BBDA,5,-17446
162,BBEA,5,-17430
163,BC2A,5,-17366
164,BC4A,5,-17334
165,BC52,5,-17326
166,BC54,5,-17324
167,BC5A,5,-17318
168,BC6A,5,-17302
169,BC8A,5,-17270
170,BC92,5,-17262
171,BC94,5,-17260
172,BC96,5,-17258
173,BC9A,5,-17254
174,BCA2,5,-17246
